record_type|state_code|f_system|station_id|travel_dir|travel_lane|year_record|month_record|day_record|day_of_week|hour_00|hour_01|hour_02|hour_03|hour_04|hour_05|hour_06|hour_07|hour_08|hour_09|hour_10|hour_11|hour_12|hour_13|hour_14|hour_15|hour_16|hour_17|hour_18|hour_19|hour_20|hour_21|hour_22|hour_23|restrictions
V|26|3R|022209|3|1|2023|1|21|7|6|3|2|6|8|4|12|29|38|67|89|109|91|102|86|94|75|70|51|48|34|28|19|12|
V|26|3R|022209|3|1|2023|1|22|1|6|3|2|2|6|6|15|29|66|88|100|122|122|115|102|93|82|43|43|24|25|9|8|2|
V|26|3R|022209|3|1|2023|1|23|2|4|3|5|4|6|23|30|66|69|90|89|65|94|110|87|86|93|79|65|38|24|17|7|4|
V|26|3R|022209|3|1|2023|1|24|3|2|1|5|6|6|19|35|70|53|82|74|72|91|71|84|81|93|85|56|39|23|24|7|2|
V|26|3R|022209|3|1|2023|1|25|4|9|2|4|6|9|26|31|69|74|77|69|64|77|91|83|96|77|88|55|39|39|22|10|7|
V|26|3R|022209|3|1|2023|1|26|5|2|0|3|3|12|19|21|60|71|78|93|80|95|89|107|102|106|99|60|49|36|21|11|10|
V|26|3R|022209|3|1|2023|1|27|6|6|0|4|5|9|23|36|75|79|82|89|115|101|119|91|102|103|93|60|36|28|36|16|3|
V|26|3R|022209|3|1|2023|1|28|7|11|5|2|2|5|8|12|20|49|71|79|82|76|63|72|83|79|69|44|48|34|41|18|15|
V|26|3R|022209|3|1|2023|1|29|1|6|3|2|2|8|8|16|29|65|103|145|149|145|131|107|99|76|42|52|37|10|13|6|3|
V|26|3R|022209|3|1|2023|1|30|2|3|4|3|4|8|16|28|73|61|69|68|78|100|87|91|99|87|84|39|22|29|15|8|6|
V|26|3R|022209|3|1|2023|1|31|3|3|1|2|4|12|21|25|71|52|59|82|67|83|78|93|100|103|74|59|46|31|33|8|2|
V|26|3R|022209|7|1|2023|1|1|1|10|3|2|4|2|9|7|7|16|27|26|61|97|86|101|119|114|98|70|52|46|34|24|12|
V|26|3R|022209|7|1|2023|1|2|2|10|5|0|5|3|12|21|29|27|52|75|100|121|141|175|192|154|119|86|74|46|28|18|9|
V|26|3R|022209|7|1|2023|1|3|3|6|8|5|4|6|16|38|55|49|68|73|80|94|92|120|130|109|78|48|31|31|18|13|7|
V|26|3R|022209|7|1|2023|1|4|4|9|5|2|4|4|14|39|49|47|53|60|64|88|103|105|113|72|73|37|22|27|22|12|14|
V|26|3R|022209|7|1|2023|1|5|5|6|5|8|2|9|8|26|32|36|60|35|63|84|99|137|131|113|96|55|24|22|36|10|11|
V|26|3R|022209|7|1|2023|1|6|6|12|10|4|6|7|11|40|40|59|85|79|103|126|155|199|198|169|106|81|56|41|47|30|21|
V|26|3R|022209|7|1|2023|1|7|7|10|6|3|6|1|10|16|16|50|59|99|113|163|166|250|256|199|125|104|54|61|32|35|17|
V|26|3R|022209|7|1|2023|1|8|1|18|12|4|3|5|7|7|8|17|42|56|77|116|135|214|208|238|168|122|73|54|36|19|14|
V|26|3R|022209|7|1|2023|1|9|2|11|5|4|3|6|12|36|50|56|63|71|88|74|91|109|121|119|81|44|24|17|35|15|1|
V|26|3R|022209|7|1|2023|1|10|3|6|5|2|2|8|17|36|54|49|73|84|91|89|88|101|96|99|89|55|36|40|19|16|10|
V|26|3R|022209|7|1|2023|1|11|4|4|2|3|3|11|16|33|49|60|66|63|96|86|99|103|113|100|87|59|41|23|21|23|8|
V|26|3R|022209|7|1|2023|1|12|5|13|1|5|5|8|16|44|43|60|81|79|75|116|108|123|167|152|103|77|56|50|36|29|29|
V|26|3R|022209|7|1|2023|1|13|6|16|7|6|6|7|12|39|61|67|78|74|97|109|149|141|197|173|130|97|75|87|38|42|25|
V|26|3R|022209|7|1|2023|1|14|7|16|6|8|2|8|8|15|24|55|83|104|129|106|125|146|173|170|156|108|55|41|34|16|12|
V|26|3R|022209|7|1|2023|1|15|1|7|8|8|2|7|3|12|15|24|42|61|96|104|127|180|237|177|154|121|67|70|35|26|12|
V|26|3R|022209|7|1|2023|1|16|2|7|4|6|2|8|16|30|51|56|62|64|94|105|108|115|115|150|97|67|33|33|27|20|5|
V|26|3R|022209|7|1|2023|1|17|3|2|3|3|3|8|13|35|57|73|55|82|68|85|82|85|103|100|65|50|25|36|18|18|3|
V|26|3R|022209|7|1|2023|1|18|4|3|2|4|4|7|18|41|59|63|78|98|90|81|95|91|126|106|97|50|35|35|28|32|14|
V|26|3R|022209|7|1|2023|1|19|5|13|3|10|6|10|14|37|43|32|37|41|28|35|36|56|40|66|73|40|26|24|25|20|16|
V|26|3R|022209|7|1|2023|1|20|6|8|5|6|1|6|21|29|42|47|68|75|86|114|101|103|137|113|88|77|51|38|30|46|18|
V|26|3R|022209|7|1|2023|1|21|7|9|5|4|4|1|6|13|16|45|82|67|100|69|90|81|105|92|44|71|64|43|32|19|6|
V|26|3R|022209|7|1|2023|1|22|1|7|4|4|4|6|4|7|12|22|43|53|67|105|103|126|118|126|103|85|92|43|31|31|11|
V|26|3R|022209|7|1|2023|1|23|2|6|6|7|2|4|12|41|54|51|83|94|79|94|83|99|119|127|71|37|24|19|19|13|3|
V|26|3R|022209|7|1|2023|1|24|3|3|8|3|1|10|11|36|45|61|80|84|72|78|95|101|91|121|90|59|33|24|21|15|9|
V|26|3R|022209|7|1|2023|1|25|4|4|2|3|3|6|14|39|55|61|66|78|96|102|86|94|111|98|76|50|30|14|22|13|9|
V|26|3R|022209|7|1|2023|1|26|5|7|4|4|4|6|14|37|50|67|66|83|85|93|121|121|153|123|111|73|50|38|42|40|26|
V|26|3R|022209|7|1|2023|1|27|6|14|11|4|3|11|9|34|58|60|67|80|66|113|97|131|144|143|125|82|48|38|36|33|20|
V|26|3R|022209|7|1|2023|1|28|7|8|9|7|6|2|5|9|15|42|59|77|68|65|74|101|99|97|57|48|33|33|32|29|22|
V|26|3R|022209|7|1|2023|1|29|1|3|4|4|3|6|4|13|10|25|38|50|58|73|78|103|103|95|103|75|48|46|28|16|11|
V|26|3R|022209|7|1|2023|1|30|2|5|5|5|5|8|13|36|54|55|75|67|68|97|90|98|107|125|76|45|20|21|12|16|8|
V|26|3R|022209|7|1|2023|1|31|3|3|5|2|4|4|11|44|43|67|64|93|76|84|79|99|99|108|66|56|24|21|20|17|11|
V|26|1R|037319|1|1|2023|1|1|1|159|81|56|43|39|49|56|65|96|207|290|389|476|524|551|570|574|516|466|412|333|261|198|141|
V|26|1R|037319|1|1|2023|1|2|2|113|69|60|55|78|81|102|132|183|256|332|431|534|588|585|602|626|559|472|341|300|247|162|145|
V|26|1R|037319|1|1|2023|1|3|3|105|79|79|90|125|179|224|305|323|348|366|385|464|474|506|526|504|455|346|286|267|218|165|139|
V|26|1R|037319|1|1|2023|1|4|4|94|67|77|105|147|239|260|357|336|346|415|451|450|487|503|531|517|470|344|296|240|198|185|112|
V|26|1R|037319|1|1|2023|1|5|5|109|89|79|100|154|191|281|314|315|365|379|426|460|491|490|535|550|483|377|306|246|243|170|129|
V|26|1R|037319|1|1|2023|1|6|6|99|70|98|108|140|209|263|319|352|400|412|430|490|510|561|590|570|555|442|346|293|253|195|120|
V|26|1R|037319|1|1|2023|1|7|7|87|78|57|79|89|110|153|173|264|343|433|502|520|509|531|468|456|452|377|345|298|238|177|142|
V|26|1R|037319|1|1|2023|1|8|1|103|75|53|40|54|63|91|69|147|224|320|382|493|482|510|587|557|527|454|359|314|260|171|122|
V|26|1R|037319|1|1|2023|1|9|2|79|75|50|75|145|218|276|339|351|374|410|392|454|473|521|565|587|488|376|275|227|214|149|100|
V|26|1R|037319|1|1|2023|1|10|3|99|67|94|100|147|199|292|335|320|388|374|417|451|461|492|505|515|470|336|262|259|211|146|115|
V|26|1R|037319|1|1|2023|1|11|4|88|75|81|81|146|212|268|361|331|412|414|438|429|464|470|504|526|493|339|292|238|216|156|129|
V|26|1R|037319|1|1|2023|1|12|5|84|83|81|89|136|212|281|348|354|383|412|418|452|511|501|531|532|547|376|348|297|240|213|138|
V|26|1R|037319|1|1|2023|1|13|6|107|71|70|87|141|207|259|318|348|375|456|487|534|580|641|655|662|608|515|486|409|341|261|156|
V|26|1R|037319|1|1|2023|1|14|7|102|80|65|81|74|85|134|175|281|373|501|558|596|560|534|525|482|454|381|320|282|227|165|114|
V|26|1R|037319|1|1|2023|1|15|1|80|68|44|50|42|50|92|74|144|260|342|389|443|517|518|547|544|498|462|397|331|253|197|151|
V|26|1R|037319|1|1|2023|1|16|2|93|79|62|62|108|181|228|298|355|367|396|431|471|498|488|540|516|454|383|304|279|223|153|103|
V|26|1R|037319|1|1|2023|1|17|3|90|69|70|84|151|205|277|357|360|369|379|408|439|455|482|513|507|475|336|256|204|213|142|115|
V|26|1R|037319|1|1|2023|1|18|4|78|81|74|114|154|221|274|386|336|372|398|404|436|496|483|514|504|479|378|291|250|195|153|118|
V|26|1R|037319|1|1|2023|1|19|5|85|75|68|91|152|208|254|337|369|384|406|410|445|457|530|524|553|473|325|300|278|242|189|122|
V|26|1R|037319|1|1|2023|1|20|6|87|64|69|95|129|208|270|311|348|376|430|449|474|526|586|594|558|541|473|370|293|259|209|131|
V|26|1R|037319|1|1|2023|1|21|7|91|66|59|76|75|102|133|173|261|371|424|516|495|459|445|474|449|406|348|289|243|225|190|111|
V|26|1R|037319|1|1|2023|1|22|1|101|54|58|43|48|66|70|75|145|187|275|339|448|473|453|492|487|472|410|313|289|228|196|107|
V|26|1R|037319|1|1|2023|1|23|2|83|51|44|94|142|197|266|338|334|376|365|407|444|498|500|488|509|462|358|293|244|186|159|119|
V|26|1R|037319|1|1|2023|1|24|3|88|74|73|100|166|211|262|366|367|378|397|426|424|468|479|488|527|497|349|263|231|229|167|126|
V|26|1R|037319|1|1|2023|1|25|4|100|82|82|97|145|177|230|346|301|348|308|331|352|381|396|442|445|379|296|225|204|180|131|106|
V|26|1R|037319|1|1|2023|1|26|5|69|64|47|94|137|222|239|290|315|387|352|403|427|480|491|515|560|492|391|318|283|250|169|151|
V|26|1R|037319|1|1|2023|1|27|6|96|79|84|82|140|179|249|311|386|377|438|473|518|546|542|546|450|518|379|357|298|256|189|115|
V|26|1R|037319|1|1|2023|1|28|7|91|72|58|65|78|110|119|144|239|339|395|445|454|415|405|411|368|365|282|224|222|163|139|90|
V|26|1R|037319|1|1|2023|1|29|1|62|39|42|24|47|49|73|81|109|176|277|353|429|472|465|489|478|459|395|334|284|237|160|110|
V|26|1R|037319|1|1|2023|1|30|2|86|59|57|88|136|183|270|305|343|325|369|367|436|416|460|497|493|455|333|269|209|186|133|108|
V|26|1R|037319|1|1|2023|1|31|3|84|54|77|95|135|216|269|318|323|362|395|396|419|466|424|476|524|452|296|278|229|200|153|98|
V|26|1R|037319|1|2|2023|1|1|1|41|12|5|5|7|5|6|7|12|26|53|106|194|201|261|300|265|249|202|147|123|77|57|25|
V|26|1R|037319|1|2|2023|1|2|2|15|5|7|8|7|18|28|43|40|83|117|159|212|258|279|311|305|275|209|136|91|72|47|17|
V|26|1R|037319|1|2|2023|1|3|3|16|10|12|15|26|38|66|116|96|113|128|160|205|219|227|259|205|205|119|105|93|58|37|21|
V|26|1R|037319|1|2|2023|1|4|4|26|11|5|16|33|49|87|105|89|118|143|179|170|223|223|242|287|229|151|101|56|65|30|19|
V|26|1R|037319|1|2|2023|1|5|5|24|17|6|17|17|57|78|110|111|132|130|157|185|259|247|246|275|257|170|104|67|78|28|18|
V|26|1R|037319|1|2|2023|1|6|6|16|9|9|11|24|53|96|112|88|160|166|202|244|282|315|339|344|290|180|144|109|85|44|21|
V|26|1R|037319|1|2|2023|1|7|7|18|11|6|11|17|14|22|29|61|101|149|205|254|232|237|185|183|173|144|101|72|78|42|23|
V|26|1R|037319|1|2|2023|1|8|1|18|12|3|6|6|10|15|9|24|51|84|126|198|205|289|343|327|272|221|150|144|89|40|30|
V|26|1R|037319|1|2|2023|1|9|2|9|6|9|8|27|56|83|103|113|99|117|158|168|207|221|252|252|224|163|72|63|47|35|11|
V|26|1R|037319|1|2|2023|1|10|3|18|5|13|9|21|50|78|115|111|125|150|136|174|173|204|227|254|235|117|80|72|47|35|20|
V|26|1R|037319|1|2|2023|1|11|4|14|10|5|13|30|44|83|141|95|146|130|160|175|177|207|253|271|208|121|93|53|63|33|21|
V|26|1R|037319|1|2|2023|1|12|5|10|13|13|6|26|42|70|136|111|134|150|143|169|190|269|306|275|247|158|119|91|80|47|14|
V|26|1R|037319|1|2|2023|1|13|6|17|5|2|7|18|39|75|115|96|156|168|236|254|290|349|386|453|352|311|248|217|164|94|34|
V|26|1R|037319|1|2|2023|1|14|7|24|14|7|9|13|15|14|43|73|126|159|246|224|238|235|255|205|195|141|90|62|57|36|27|
V|26|1R|037319|1|2|2023|1|15|1|12|7|3|9|2|3|10|10|20|57|78|124|154|191|229|235|261|228|202|138|106|79|62|26|
V|26|1R|037319|1|2|2023|1|16|2|16|6|12|4|15|33|64|98|114|120|146|175|198|239|245|272|293|241|162|106|94|62|31|12|
V|26|1R|037319|1|2|2023|1|17|3|13|14|14|11|23|45|74|103|120|109|151|133|170|182|196|197|257|196|104|70|56|58|27|20|
V|26|1R|037319|1|2|2023|1|18|4|22|8|9|6|29|45|70|133|118|140|125|133|136|184|221|214|245|222|116|91|57|57|47|26|
V|26|1R|037319|1|2|2023|1|19|5|12|13|9|17|30|50|83|133|116|140|148|145|157|216|276|284|318|262|123|119|91|67|47|18|
V|26|1R|037319|1|2|2023|1|20|6|17|13|6|16|16|44|71|98|119|128|182|210|294|277|322|340|317|248|184|164|115|81|48|26|
V|26|1R|037319|1|2|2023|1|21|7|17|7|8|5|7|22|20|32|66|104|145|175|195|189|172|170|153|146|117|85|47|46|44|40|
V|26|1R|037319|1|2|2023|1|22|1|10|6|6|1|5|9|8|8|14|32|69|114|157|174|167|218|228|235|170|144|90|60|46|22|
V|26|1R|037319|1|2|2023|1|23|2|13|6|7|8|16|33|60|124|123|127|119|137|137|201|179|223|231|174|113|91|47|34|34|19|
V|26|1R|037319|1|2|2023|1|24|3|10|11|9|16|29|43|67|126|135|119|120|152|152|192|202|204|237|217|137|61|62|59|32|15|
V|26|1R|037319|1|2|2023|1|25|4|10|11|10|10|23|59|61|119|96|84|80|103|122|124|138|179|176|151|109|69|57|41|27|12|
V|26|1R|037319|1|2|2023|1|26|5|6|7|5|12|29|46|66|128|93|87|113|135|137|200|199|200|234|176|158|119|80|58|45|20|
V|26|1R|037319|1|2|2023|1|27|6|11|14|5|6|12|26|39|90|88|103|157|201|253|277|240|324|258|274|190|133|114|80|48|17|
V|26|1R|037319|1|2|2023|1|28|7|17|1|7|12|5|15|23|22|53|92|128|181|166|139|142|123|77|47|28|10|18|21|17|7|
V|26|1R|037319|1|2|2023|1|29|1|3|3|4|0|3|2|7|6|13|26|57|117|147|174|196|224|208|215|181|119|83|77|41|19|
V|26|1R|037319|1|2|2023|1|30|2|13|6|6|14|19|35|61|134|97|98|115|116|139|180|149|177|209|186|91|79|41|47|25|19|
V|26|1R|037319|1|2|2023|1|31|3|15|7|7|11|22|26|61|126|73|77|119|113|122|146|169|191|264|174|101|86|49|45|27|16|
V|26|1R|037319|5|1|2023|1|1|1|57|59|46|33|36|54|114|135|237|325|485|609|683|691|708|593|544|487|401|284|213|163|95|67|
V|26|1R|037319|5|1|2023|1|2|2|51|34|41|43|71|97|142|258|319|451|596|678|713|694|646|601|517|451|351|297|210|154|128|64|
V|26|1R|037319|5|1|2023|1|3|3|56|51|55|78|125|175|314|441|458|486|486|516|508|507|527|501|485|425|346|287|198|175|160|118|
V|26|1R|037319|5|1|2023|1|4|4|92|72|86|86|131|196|330|442|476|470|495|500|476|470|510|534|465|475|388|263|225|186|157|108|
V|26|1R|037319|5|1|2023|1|5|5|79|84|68|94|117|198|335|457|463|463|475|487|485|487|489|494|508|470|350|276|222|179|157|117|
V|26|1R|037319|5|1|2023|1|6|6|77|68|67|106|115|179|280|426|465|449|507|538|518|548|575|536|577|534|469|339|227|214|175|130|
V|26|1R|037319|5|1|2023|1|7|7|98|52|60|65|74|89|179|230|340|446|530|559|579|526|535|508|493|431|364|294|266|190|159|108|
V|26|1R|037319|5|1|2023|1|8|1|57|42|45|36|48|67|104|183|219|353|429|520|556|580|587|562|534|438|385|288|198|144|104|65|
V|26|1R|037319|5|1|2023|1|9|2|58|44|55|66|118|193|342|497|491|489|508|465|485|476|486|501|495|426|359|249|195|167|175|120|
V|26|1R|037319|5|1|2023|1|10|3|63|69|76|99|119|196|337|509|507|511|466|461|444|484|486|500|492|454|330|246|190|156|144|117|
V|26|1R|037319|5|1|2023|1|11|4|87|61|70|101|135|206|334|459|523|470|465|427|466|471|499|527|518|427|360|272|200|168|157|127|
V|26|1R|037319|5|1|2023|1|12|5|78|68|74|96|143|196|331|500|520|476|490|492|484|477|491|507|521|477|379|294|248|174|163|122|
V|26|1R|037319|5|1|2023|1|13|6|86|74|87|97|116|210|333|462|476|523|508|558|539|597|605|614|572|608|508|377|286|234|195|126|
V|26|1R|037319|5|1|2023|1|14|7|83|59|48|65|75|107|153|250|330|444|548|570|553|505|521|517|486|424|353|308|266|211|175|95|
V|26|1R|037319|5|1|2023|1|15|1|59|39|32|41|41|52|100|129|240|292|426|546|574|567|531|541|467|489|416|315|232|173|103|80|
V|26|1R|037319|5|1|2023|1|16|2|62|54|51|74|93|184|300|417|469|472|548|592|571|570|602|552|532|502|371|313|205|185|156|106|
V|26|1R|037319|5|1|2023|1|17|3|67|69|78|106|139|204|347|492|500|475|459|468|472|449|483|506|473|424|317|243|191|157|156|135|
V|26|1R|037319|5|1|2023|1|18|4|74|62|83|90|124|200|336|491|498|523|453|471|469|481|500|520|516|441|346|254|208|163|152|122|
V|26|1R|037319|5|1|2023|1|19|5|75|65|75|107|110|199|313|455|482|499|477|446|463|489|475|504|521|491|353|267|203|177|146|113|
V|26|1R|037319|5|1|2023|1|20|6|104|63|73|93|110|186|309|426|468|485|519|499|525|549|534|579|556|578|442|361|229|237|169|88|
V|26|1R|037319|5|1|2023|1|21|7|5|2|0|1|22|95|134|244|334|410|497|512|494|462|471|461|455|387|359|285|199|190|167|91|
V|26|1R|037319|5|1|2023|1|22|1|65|45|45|31|43|65|88|138|231|276|363|460|551|578|542|474|468|397|333|246|213|122|103|69|
V|26|1R|037319|5|1|2023|1|23|2|56|34|51|79|115|204|327|460|513|479|481|460|488|468|508|494|501|435|345|231|185|161|155|107|
V|26|1R|037319|5|1|2023|1|24|3|59|78|66|94|104|221|322|483|481|464|463|493|474|467|487|510|509|465|340|276|213|177|149|108|
V|26|1R|037319|5|1|2023|1|25|4|72|67|73|95|112|187|304|389|449|383|370|404|409|402|411|402|418|382|270|238|156|132|129|97|
V|26|1R|037319|5|1|2023|1|26|5|71|57|57|87|121|191|305|434|471|503|456|486|442|462|473|474|461|420|288|235|210|151|120|108|
V|26|1R|037319|5|1|2023|1|27|6|81|62|77|90|96|150|234|359|434|455|528|592|515|586|527|513|477|433|379|311|249|178|184|120|
V|26|1R|037319|5|1|2023|1|28|7|79|60|53|60|48|101|134|216|320|408|483|517|464|478|408|390|313|285|229|187|182|140|97|87|
V|26|1R|037319|5|1|2023|1|29|1|51|37|37|24|31|45|66|114|184|262|373|450|519|559|584|514|450|415|344|254|199|124|96|72|
V|26|1R|037319|5|1|2023|1|30|2|61|51|55|70|92|190|319|438|486|505|475|452|477|468|467|480|479|439|341|243|203|170|159|122|
V|26|1R|037319|5|1|2023|1|31|3|82|61|83|88|121|200|301|436|486|436|468|438|447|485|491|496|482|437|339|242|204|167|134|112|
V|26|1R|037319|5|2|2023|1|1|1|6|5|6|2|1|1|11|25|47|116|216|321|367|341|443|346|244|211|144|87|43|41|16|8|
V|26|1R|037319|5|2|2023|1|2|2|6|3|6|4|3|25|47|71|118|223|317|409|450|473|437|330|257|230|147|87|52|33|27|10|
V|26|1R|037319|5|2|2023|1|3|3|7|3|1|11|19|40|101|197|201|224|239|246|258|243|283|292|202|184|139|76|38|32|32|15|
V|26|1R|037319|5|2|2023|1|4|4|12|9|5|2|18|31|110|167|187|194|224|249|221|233|241|259|232|232|127|65|49|37|23|16|
V|26|1R|037319|5|2|2023|1|5|5|11|8|3|9|17|26|95|165|198|184|189|216|210|230|247|260|256|231|127|78|48|35|32|19|
V|26|1R|037319|5|2|2023|1|6|6|3|3|6|11|12|34|94|171|153|188|242|261|292|318|306|347|361|288|196|126|65|58|43|22|
V|26|1R|037319|5|2|2023|1|7|7|10|6|4|7|7|8|25|47|82|137|216|270|258|223|252|231|167|133|127|77|60|35|27|20|
V|26|1R|037319|5|2|2023|1|8|1|13|3|3|2|5|7|7|30|38|99|174|237|232|262|285|291|275|180|124|111|42|29|8|8|
V|26|1R|037319|5|2|2023|1|9|2|4|8|2|3|14|45|109|220|230|185|208|213|177|208|228|250|234|179|117|48|26|26|27|15|
V|26|1R|037319|5|2|2023|1|10|3|5|10|10|13|13|39|100|226|212|199|172|207|189|214|183|211|206|200|104|71|39|24|26|10|
V|26|1R|037319|5|2|2023|1|11|4|7|5|5|9|19|39|91|184|194|209|199|172|182|222|242|204|264|189|103|71|37|29|29|18|
V|26|1R|037319|5|2|2023|1|12|5|12|5|5|9|20|42|74|216|223|208|191|199|218|193|205|237|281|209|111|80|54|42|31|10|
V|26|1R|037319|5|2|2023|1|13|6|12|2|8|6|6|28|93|158|190|237|248|236|228|293|318|301|365|372|241|116|65|60|42|20|
V|26|1R|037319|5|2|2023|1|14|7|8|7|10|3|13|14|23|58|108|162|181|223|201|177|230|219|163|144|132|75|61|51|34|13|
V|26|1R|037319|5|2|2023|1|15|1|4|7|2|4|1|10|11|23|59|55|148|228|225|261|249|240|195|207|163|101|66|25|21|19|
V|26|1R|037319|5|2|2023|1|16|2|11|5|1|10|16|35|89|145|199|226|280|397|391|477|501|439|309|260|147|87|68|34|35|17|
V|26|1R|037319|5|2|2023|1|17|3|6|6|2|7|10|36|84|198|209|195|193|204|206|171|227|258|237|175|111|58|39|40|26|13|
V|26|1R|037319|5|2|2023|1|18|4|9|10|8|10|12|34|115|178|194|221|200|177|171|193|206|218|234|185|96|57|43|19|28|20|
V|26|1R|037319|5|2|2023|1|19|5|11|11|7|16|10|36|87|210|197|185|177|196|228|186|199|245|217|222|127|59|50|36|26|20|
V|26|1R|037319|5|2|2023|1|20|6|13|7|10|12|9|34|96|162|159|212|225|224|276|317|284|313|397|372|161|71|58|47|35|18|
V|26|1R|037319|5|2|2023|1|21|7|2|0|0|0|3|10|18|39|86|125|196|208|211|230|188|198|163|124|104|61|31|43|26|15|
V|26|1R|037319|5|2|2023|1|22|1|8|5|3|0|0|3|12|11|28|64|147|192|238|234|260|192|204|149|110|83|59|27|20|6|
V|26|1R|037319|5|2|2023|1|23|2|7|4|7|8|9|43|94|215|207|213|181|194|173|163|188|200|225|167|122|64|55|34|25|12|
V|26|1R|037319|5|2|2023|1|24|3|3|3|1|7|11|29|94|234|208|192|197|182|189|189|217|190|213|196|108|71|37|32|20|17|
V|26|1R|037319|5|2|2023|1|25|4|10|7|7|8|10|35|80|161|122|147|126|137|142|142|135|121|139|126|69|50|37|31|18|12|
V|26|1R|037319|5|2|2023|1|26|5|9|7|4|8|17|20|66|165|176|95|175|230|186|176|214|220|208|150|137|65|39|50|28|15|
V|26|1R|037319|5|2|2023|1|27|6|11|10|17|15|12|34|76|122|182|155|237|169|211|238|250|255|243|280|179|107|64|39|31|21|
V|26|1R|037319|5|2|2023|1|28|7|11|4|1|2|5|9|19|45|70|116|166|198|163|185|133|117|107|57|30|20|42|22|11|11|
V|26|1R|037319|5|2|2023|1|29|1|5|4|4|5|0|2|5|15|26|54|107|200|271|302|301|246|196|168|138|66|38|19|25|12|
V|26|1R|037319|5|2|2023|1|30|2|7|1|7|14|13|27|72|211|232|209|181|192|189|173|223|207|196|155|105|54|39|24|30|14|
V|26|1R|037319|5|2|2023|1|31|3|7|9|2|5|12|28|89|192|212|189|178|179|227|181|182|198|186|168|104|53|32|26|20|17|
V|26|3U|044029|1|1|2023|1|1|1|27|21|6|9|8|10|24|17|41|82|104|107|141|125|86|85|119|80|75|55|34|34|25|9|
V|26|3U|044029|1|1|2023|1|2|2|6|4|4|6|13|30|51|82|105|122|175|166|191|185|159|142|116|119|58|56|31|22|9|8|
V|26|3U|044029|1|1|2023|1|3|3|4|5|6|5|37|65|187|299|233|207|192|183|189|221|188|151|184|143|80|53|40|21|16|12|
